prompt,llm_prediction,llm_reason
"You are evaluating a structured profile for income classification.

Profile:
- Age: 47
- Workclass: Local-gov
- Education: Masters
- Education Num: 14
- Marital Status: Divorced
- Occupation: Protective-serv
- Relationship: Not-in-family
- Race: Black
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 50
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Despite a master’s degree and full-time work protective services in local government typically have moderate salaries and no capital gains.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 54
- Workclass: Self-emp-not-inc
- Education: HS-grad
- Education Num: 9
- Marital Status: Married-civ-spouse
- Occupation: Transport-moving
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 15
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Very low weekly hours (15) strongly indicate part-time work which is unlikely to exceed 50K despite being self-employed.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 37
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Married-civ-spouse
- Occupation: Handlers-cleaners
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,HS education and a lower-skill occupation (handlers-cleaners) with standard hours typically correspond to lower income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 40
- Workclass: Local-gov
- Education: Bachelors
- Education Num: 13
- Marital Status: Never-married
- Occupation: Prof-specialty
- Relationship: Not-in-family
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 50
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",1,Bachelor’s degree with a professional specialty role and 50-hour workweek suggests higher earning potential.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 36
- Workclass: Private
- Education: Assoc-acdm
- Education Num: 12
- Marital Status: Never-married
- Occupation: Craft-repair
- Relationship: Not-in-family
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Mid-level education and a craft job with standard hours generally do not reach the >50K threshold.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 45
- Workclass: Private
- Education: 9th
- Education Num: 5
- Marital Status: Married-civ-spouse
- Occupation: Adm-clerical
- Relationship: Husband
- Race: Black
- Sex: Male
- Capital Gain: 5178
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Low education level and clerical work suggest lower income and the modest capital gain is not sufficient to offset this.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 35
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Divorced
- Occupation: Other-service
- Relationship: Not-in-family
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 45
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Service occupation and moderate hours without advanced education or capital gains indicate lower income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 24
- Workclass: State-gov
- Education: Some-college
- Education Num: 10
- Marital Status: Never-married
- Occupation: Other-service
- Relationship: Not-in-family
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: Canada

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Young age limited experience and service occupation strongly suggest income below 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 40
- Workclass: Private
- Education: Masters
- Education Num: 14
- Marital Status: Married-civ-spouse
- Occupation: Exec-managerial
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 46
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",1,Master’s degree and executive managerial role with full-time hours are strong indicators of higher income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 50
- Workclass: Private
- Education: Some-college
- Education Num: 10
- Marital Status: Married-civ-spouse
- Occupation: Exec-managerial
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",1,Executive managerial position and age with experience typically correspond to income above 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 39
- Workclass: Private
- Education: 11th
- Education Num: 7
- Marital Status: Divorced
- Occupation: Sales
- Relationship: Other-relative
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Low education level and sales role without other strong income indicators suggest lower earnings.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 24
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Never-married
- Occupation: Adm-clerical
- Relationship: Unmarried
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 60
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Young age and clerical work even with long hours typically do not exceed 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 21
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Never-married
- Occupation: Craft-repair
- Relationship: Own-child
- Race: Black
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Very young age and entry-level work strongly correlate with income below 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 39
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Divorced
- Occupation: Farming-fishing
- Relationship: Not-in-family
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Farming fishing roles generally have lower income levels especially without advanced education.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 18
- Workclass: Private
- Education: 12th
- Education Num: 8
- Marital Status: Never-married
- Occupation: Sales
- Relationship: Own-child
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 20
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Very young age part-time hours and limited education strongly indicate low income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 74
- Workclass: Federal-gov
- Education: Some-college
- Education Num: 10
- Marital Status: Widowed
- Occupation: Transport-moving
- Relationship: Not-in-family
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 18
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Part-time work at an advanced age in a non-specialized role suggests income below 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 40
- Workclass: Private
- Education: Bachelors
- Education Num: 13
- Marital Status: Married-civ-spouse
- Occupation: Exec-managerial
- Relationship: Wife
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 45
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",1,Bachelor’s degree and executive managerial role with solid hours suggest higher income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 21
- Workclass: Private
- Education: Some-college
- Education Num: 10
- Marital Status: Never-married
- Occupation: Sales
- Relationship: Own-child
- Race: White
- Sex: Female
- Capital Gain: 0
- Capital Loss: 1602
- Hours per Week: 22
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Young age part-time work and service job indicate income below 50K despite minor capital loss.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 45
- Workclass: Private
- Education: Prof-school
- Education Num: 15
- Marital Status: Married-civ-spouse
- Occupation: Exec-managerial
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",1,Professional school education and executive managerial role strongly indicate high income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 23
- Workclass: Private
- Education: HS-grad
- Education Num: 9
- Marital Status: Never-married
- Occupation: Craft-repair
- Relationship: Own-child
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: Columbia

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Young age and craft job with standard hours typically correspond to lower income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 40
- Workclass: Private
- Education: Assoc-voc
- Education Num: 11
- Marital Status: Married-civ-spouse
- Occupation: Craft-repair
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Mid-level education and craft job with standard hours generally fall below 50K.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 30
- Workclass: Private
- Education: Assoc-acdm
- Education Num: 12
- Marital Status: Married-civ-spouse
- Occupation: Adm-clerical
- Relationship: Wife
- Race: Black
- Sex: Female
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 20
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Part-time clerical work with moderate education suggests lower income.
"You are evaluating a structured profile for income classification.

Profile:
- Age: 40
- Workclass: Private
- Education: Some-college
- Education Num: 10
- Marital Status: Married-civ-spouse
- Occupation: Sales
- Relationship: Husband
- Race: White
- Sex: Male
- Capital Gain: 0
- Capital Loss: 0
- Hours per Week: 40
- Native Country: United-States

Task:
Predict whether this person's income is:
0 = <=50K
1 = >50K

Return your answer in exactly this format:
Prediction: <0 or 1>
Reason: <short explanation in 1-2 sentences>",0,Sales role with average education and no additional indicators suggests income below 50K.
